Author Name,First Name,Gender,Probability,Reliable,Publication_Count,Article_1,Article_2,Article_3,Article_4,Article_5,Article_6,Article_7,Article_8,Article_9,Article_10,Article_11,Article_12,Article_13,Article_14,Article_15,Article_16,Article_17,Article_18,Article_19,Article_20,Article_21,Article_22,Article_23,Article_24,Article_25,Article_26,Article_27,Article_28,Article_29,Article_30,Article_31,Article_32,Article_33,Article_34,Article_35,Article_36,Article_37,Article_38,Article_39,Article_40,Article_41,Article_42,Article_43,Article_44,Article_45,Article_46,Article_47,Article_48,Article_49,Article_50,Article_51,Article_52,Article_53,Article_54,Article_55,Article_56,Article_57,Article_58,Article_59,Article_60,Article_61,Article_62,Article_63,Article_64,Article_65,Article_66,Article_67,Article_68,Article_69,Article_70,Article_71,Article_72,Article_73,Article_74,Article_75,Article_76,Article_77,Article_78,Article_79,End_Marker
"Del-Río-Ortega, Adela",Adela,female,0.999990800859609,True,7,Measuring Performance in Knowledge-intensive Processes,Context-Aware Process Performance Indicator Prediction,Specification and automated design-time analysis of the business process human resource perspective,KPIshare: A collaborative space for BPM practitioners for full definitions and discussions on process KPIs,PPINOT tool suite: A performance management solution for process-oriented organisations,On the definition and design-time analysis of process performance indicators,Defining process performance indicators by using templates and patterns,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delamaro, Marcio Eduardo",Marcio,male,0.9999151030062828,True,1,A methodology to support the execution of proficiency tests for software quality assessment,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delanoë, Anne Marie Barthe",Anne,female,0.9999910090887604,True,1,A PaaS to Support Collaborations through Service Composition,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delavari, Houra",Houra,female,0.989996722338914,True,4,A critical analysis of business process management education and alignment with industry demand: An Australian perspective,A comparative analysis of Business Analysis (BA) and Business Process Management (BPM) capabilities,Business Process Management (BPM) education in Australia: A critical review based on content analysis,A critical analysis of the demand for and nature of Business Process Management (BPM) roles in industry: A global analysis,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delfmann, Patrick",Patrick,male,0.9999373211096791,True,13,Predictive Recommining: Learning Relations Between Event Log Characteristics and Machine Learning Approaches for Supporting Predictive Process Monitoring,Ontology-Based Process Modelling - Will We Live to See It?,The recomminder: A decision support tool for predictive business process monitoring,Semi-automatic inductive construction of reference process models that represent best practices in public administrations: A method,[ϵm] - Process analysis using a meta modeling tool,Designing a framework for the development of domain-specific process modelling languages,Comprehensible predictive models for business processes,On the de-facto standard of event-driven process chains: Reviewing EPC implementations in process modelling tools,From legislation to potential compliance violations in business processes - Simplicity matters research,Graph theory and model collection management: conceptual framework and runtime analysis of selected graph algorithms,Designing and evaluating an interpretable predictive modeling technique for business processes,"The generic model query language GMQL - Conceptual specification, implementation, and runtime evaluation",An efficient business process compliance checking approach,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delgado, Andrea",Andrea,female,0.9990642945711072,True,23,Towards a unified vision of business process and organizational data,A Process-Aware Inter-organizational Service Integration Platform to Support Collaborative Organizations,A generic BPMS user portal for business processes execution interoperability,Towards an ontology for service oriented modeling supporting business processes,Automating the process of building flexible Web Warehouses with BPM Systems,Automatic generation of SOAs for Business Process execution: A vision based on models,Evaluating non-functional aspects of business process management systems,From BPMN business process models to SoaML service models: A transformation-driven approach,Adding the Sustainability Dimension in Process Mining Discovery Algorithms Evaluation,Teaching BPM Fundamentals: A Project-Based Hands-On Course for Process-Driven Systems Modeling and Development,BizDevOps Support for Business Process Microservices-Based Applications,Towards Setting Up a Collaborative Environment to Support Collaborative Business Processes and Services with Social Interactions,Model-driven generation of a BPMS portal based on interaction flow modeling language models,Towards a Generic BPMS User Portal Definition for the Execution of Business Processes,A systematic approach for evaluating BPM systems: Case studies on open source and proprietary tools,Changing the focus of an organization: From information systems to process aware information systems,An integrated approach based on execution measures for the continuous improvement of business processes realized by services,Continuous improvement of business processes realized by services based on execution measurement,Execution measurement-driven continuous improvement of business processes implemented by services,Business Process Service Oriented Methodology (BPSOM) with service generation in SoaML,Tool support for service oriented development from business processes,MINERVA: Model drIveN and sErvice oRiented framework for the continuous business process improVement and relAted tools,Application of service-oriented computing and model-driven development paradigms to business processes: A systematic review,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delgado, Fernando Marrero",Fernando,male,0.9998906875755088,True,1,Sustainability Management Framework: Case Study of a Cuban IT Project Organization,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delias, Pavlos",Pavlos,male,0.9999819275924978,True,1,A Conceptual Business Process Entity with Lifecycle and Compliance Alignment,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delic, M.",,unknown,0.0,False,2,INTEGRATED MODEL OF RISK MANAGEMENT IN BUSINESS PROCESSES IN INDUSTRIAL SYSTEMS,Business process management model as an approach to process orientation,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delicado, Luis",Luis,male,0.9999544636263328,True,2,The model judge – A tool for supporting novices in learning process modeling,NLP4BPM - Natural language processing tools for business process management,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delima, Rosa",Rosa,female,0.9999496750319676,True,1,Defining Integrated Agriculture Information System Non-Functional Requirement and Re-engineering the Metadata,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Della Penna, Giuseppe",Giuseppe,male,0.9998656437376092,True,1,A lightweight BPMN extension for business process-oriented requirements engineering,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell’Aversana, Raffaele",Raffaele,male,0.9994192029161726,True,3,A decision framework for understanding data-aware business process models,Data aware business process models: A framework for the analysis and verification of properties,Verification of data aware business process models: A methodological survey of research results and challenges,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
