Author Name,First Name,Gender,Probability,Reliable,Publication_Count,Article_1,Article_2,Article_3,Article_4,Article_5,Article_6,Article_7,Article_8,Article_9,Article_10,Article_11,Article_12,Article_13,Article_14,Article_15,Article_16,Article_17,Article_18,Article_19,Article_20,Article_21,Article_22,Article_23,Article_24,Article_25,Article_26,Article_27,Article_28,Article_29,Article_30,Article_31,Article_32,Article_33,Article_34,Article_35,Article_36,Article_37,Article_38,Article_39,Article_40,Article_41,Article_42,Article_43,Article_44,Article_45,Article_46,Article_47,Article_48,Article_49,Article_50,Article_51,Article_52,Article_53,Article_54,Article_55,Article_56,Article_57,Article_58,Article_59,Article_60,Article_61,Article_62,Article_63,Article_64,Article_65,Article_66,Article_67,Article_68,Article_69,Article_70,Article_71,Article_72,Article_73,Article_74,Article_75,Article_76,Article_77,Article_78,Article_79,End_Marker
"AI-Khazrage, Lyth",Lyth,male,0.9966979992020594,True,1,Generating High Quality Samples of Process Cases in Internal Audit,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL-MAdhrahi, Zaeem",Zaeem,male,0.9998404212740823,True,1,Integrating Big Data Analytics into Business Process Modelling: Possible Contributions and Challenges,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aagesen, Gustav",Gustav,male,0.9999889917977836,True,1,The Entanglement of Enterprise Architecture and IT-Governance: The Cases of Norway and the Netherlands,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aalst, Wil Van Der",Wil,male,0.9988491702309068,True,1,Editorial: “Business Process Intelligence: Connecting Data and Processes”,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aalst, Wil van der",Wil,male,0.9988491702309068,True,1,"Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aamer, Tanel",Tanel,male,0.9918559872070382,True,1,Improving Digital Onboarding Processes for Financial Services - A Multivocal Literature Review,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aapovic, Robert",Robert,male,0.9999776797436908,True,1,K2 platform in Business process management,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aaramaa, Sanja",Sanja,female,0.9999949857921516,True,1,Supporting cognitive work in software development workflows,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abarna, S.",,unknown,0.0,False,1,Business logic evaluation model for web service reliability analysis,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abasova, Samira",Samira,female,0.9999943895539188,True,1,The Impact of COVID-19 on Digital Enterprise Management,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abb, Luka",Luka,male,0.9885450757384792,True,1,Large Language Models Can Accomplish Business Process Management Tasks,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbad Andaloussi, Amine",Amine,male,0.9843178334572084,True,1,Understanding quality in declarative process modeling through the mental models of experts,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbattista, Chiara",Chiara,female,0.9999918135427956,True,1,"Triad of Digital Transformation: Holistic Orchestration for People, Process, and Technology",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbott, Charon",Charon,female,0.9415744675632084,True,1,A typological framework of process improvement project stakeholders,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abd Latif, Mohd Faizal",Mohd,male,0.9999652934861984,True,1,Quality management of internal supply chain in Halal food manufacturer,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AbdelRazik, Mohamed",Mohamed,male,0.9999971268152898,True,1,Bridging the business-IT divide using BPM: challenges and opportunities,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelakfi, Mahdi",Mahdi,male,0.9994825822684632,True,1,Mining organizational structures from email logs: An NLP based approach,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelkader, Betari",Betari,male,0.5277391472849133,False,1,Towards an active help on detecting data flow errors in business process models,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelkader, Mostefai",Mostefai,male,0.574013886849099,False,2,Process model matching using heuristic search,A method based on wordNet and Monge-Elkan distance for business process model matching,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelnabi, Esra A.",Esra,female,0.99996888003882,True,1,Application of Business Process Management in the Libyan International Medical University: History and Development,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdelsalam, Mohammed",Mohammed,male,0.99999732840862,True,1,An Ontology-Based Customer Relationship Management Model for Educational Institutions Using Service-Oriented Architecture,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdennebi, Talbi",Talbi,male,0.9808499420469156,True,1,Overall design approach for urbanized information systems: Application of the method PRAXEME,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdi, Mustapha Kamel",Mustapha,male,0.998603349675528,True,1,Predictive Approach To The Degree Of Business Process Change,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdullaeva, Aliya Serdarovna",Aliya,female,0.9999965137077664,True,1,Modern economic management model efficiency business and criticism traditional budgetings,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdullah, Ziyad Tariq",Ziyad,male,0.9999414664897398,True,1,Sustainability Assessment of Remanufacturing Waste Sheet Steel Into Angle Mesh Steel,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdulwahab, Hudhaifa Mohammed",Hudhaifa,male,0.9422378062730712,True,1,Multi-agent QoS-aware autonomic resource provisioning framework for elastic BPM in containerized multi-cloud environment,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abeck, Sebastian",Sebastian,male,0.9999469726859632,True,1,A Model-Driven Approach for Monitoring Business Performance in Web Service Compositions,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abed, Mourad",Mourad,male,0.9999915789809812,True,1,Decentralized collaborative business process execution using blockchain,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abedi, Mehdi",Mehdi,male,0.9998841882341888,True,1,A Metaheuristic Framework for Energy-Intensive Industries With Batch Processing Machines,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abelló, Alberto",Alberto,male,0.9998864566720465,True,2,Quality measures for ETL processes: from goals to implementation,Quality measures for ETL processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abels, Sven",Sven,male,0.9999829597136493,True,1,Plug-and-play virtual factories,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abeygunasekera, A.W.J.C.",A.W.J.C.,male,0.730592118147364,False,1,Process performance measurement system characteristics: An empirically validated framework,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abeytunge, S.",,unknown,0.0,False,1,Measurement and Optimization of Local Coupling from RHIC BPM Data,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abhilash, A.",,unknown,0.0,False,1,Ica based non contact heart rate measurement,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abhishek Kadam, Manjushri",Manjushri,female,0.9613903588000398,True,1,IOT Computation Integration into Business Process Management,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abhishta, Abhishta",Abhishta,female,0.5321989885281302,False,1,Group Workshop as a “Human-Centered Approach” for Identification and Selection of Business Processes for Robotic Process Automation,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abi Assaf, Maroun",Maroun,male,0.9983639772127082,True,1,Towards an Integration System for Artifact-centric Processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abid, Adnan",Adnan,male,0.9999596751967326,True,1,Generating process model collection with diverse label and structural features,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abid, Amal",Amal,female,0.985018849130288,True,1,Temporal Constraints in Smart Contract-Based Process Execution: A Case Study of Organ Transfer by Healthcare Delivery Drone,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abidi, Naseem",Naseem,unknown,0.7365016820976236,False,1,Approaching Quality 4.0: The Digital Process Management as a Competitive Advantage,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AbouGrad, Hisham",Hisham,male,0.9999852296896212,True,1,Applying the Delphi Method to Measure Enterprise Content Management Workflow System Performance,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abramov, Valery",Valery,female,0.9981509467247144,True,1,Creation of an Intelligent Automated Business Process Management System Through Speech and Dialogue Design Patterns,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abramowicz, Witold",Witold,male,0.999973414620794,True,2,Enhancement of Semantic Business Processes with Information Profiles: Application of Mobile Context Information,Semantic Modelling of Collaborative Business Processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abran, Alain",Alain,male,0.9997547561521526,True,3,Representing Unique Stakeholder Perspectives in BPM Notations,Requirements elicitation using BPM notations: Focusing on the strategic level representation,BPM and requirements elicitation at multiple levels of abstraction: A review,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abu-Matar, Mohammad",Mohammad,male,0.9999978931239886,True,1,Translating BPMN to business rules,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abuezhayeh, Sami Wasef",Sami,male,0.9853481728140152,True,1,Integration between knowledge management and business process management and its impact on the decision making process in the construction sector: a case study of Jordan,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abughoush, Ali",Ali,male,0.988143397255068,True,1,Establishing a Business Process Management System in a telecoms company,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abunadi, Ibrahim",Ibrahim,male,0.9999626675391332,True,2,"Blockchain and Business Process Management in Health Care, Especially for COVID-19 Cases",Enterprise architecture best practices in large corporations,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aburomman, Ahmad",Ahmad,male,0.9999926458308084,True,2,Estimating Remaining Time of Business Processes based on Traces Structural Analysis,A vector-based classification approach for remaining time prediction in business processes,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abuzjarova, Maria",Maria,female,0.999994839830492,True,1,The role of web-sphere for managing supply chain business objects in heterogeneous systems,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accorsi, Rafael",Rafael,male,0.9999801002723208,True,6,Strong non-leak guarantees for workflow models,On the exploitation of process mining for security audits: the process discovery case,A posteriori process security control,AI-augmented Business Process Management Systems: A Research Manifesto,Toward resilience assessment in business process architectures,Resilience - A new research field in business information systems?,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acher, Mathieu",Mathieu,male,0.9998063458618334,True,1,Experience in Specializing a Generic Realization Language for SPL Engineering at Airbus,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acitelli, Giacomo",Giacomo,male,0.9999694890720268,True,2,An End-To-End Execution of a Logistic Process in an AI-Augmented Business Process Management System,A Human-in-the-Loop Approach to Support the Segments Compliance Analysis,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ackermann, Daniel",Daniel,male,0.9999484956264236,True,1,Repository-based implementation of information pyramid: A study based on an ERP case study,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ackermann, Lars",Lars,male,0.9998276630707326,True,5,Comparing the Expressiveness of Imperative and Declarative Process Models,Data-Driven Annotation of Textual Process Descriptions Based on Formal Meaning Representations,IoT meets BPM: a bidirectional communication architecture for IoT-aware process execution,Internet of things meets bpm: A conceptual integration framework,Language-centric approaches for improving business process model acceptance,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acosta-Velásquez, Rubén Dario",Rubén,male,0.999295305471911,True,1,Contemporary Management Practice Applying the Dynamic Absorptive Capacity Measurement Model (PM4AC) for Improved Business Sustainability,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acreţoaie, Vlad",Vlad,male,0.999984084818814,True,1,VMTL: a language for end-user model transformation,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adadi, Nouha",Nouha,female,0.9994707052689508,True,2,Modeling and implementation of web services composition based on mards,Modeling and formal verification of web services composition using CADP,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam, Mohammed Alwathig Alhaj",Mohammed,male,0.99999732840862,True,1,Developing tool for Odoo platform,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam, O.",,unknown,0.0,False,2,Enabling customer-driven processes in value-added networks using an architecture for e-collaboration,Business process management with vague data,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam, Sebastian",Sebastian,male,0.9999469726859632,True,3,The Role of Service Abstraction and Service Variability and Its Impact on Requirements Engineering for Service-Oriented Systems,A methodological framework with lessons learned for introducing business process management,From business processes to software services and vice versa - An improved transition through service-oriented requirements engineering,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adamo, Greta",Greta,female,0.9999931494278425,True,3,What is a process model composed of?: A systematic literature review of meta-models in BPM,Beyond arrows in process models: A user study on activity dependences and their rationales,Digging into Business Process Meta-models: A First Ontological Analysis,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adamou, Alessandro",Alessandro,male,0.9999636677574056,True,1,Kali-ma: A semantic guide to browsing and accessing functionalities in plugin-based tools,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, Michael",Michael,male,0.9999876221560686,True,12,Design and Realisation of Scalable Business Process Management Systems for Deployment in the Cloud,Extensible ontology-based views for business process models,YAWL: An open source Business Process Management System from science for science,Flexible Integration of Blockchain with Business Process Automation: A Federated Architecture,Design and Performance Analysis of Load Balancing Strategies for Cloud-Based Business Process Management Systems,Towards the design of a scalable business process management system architecture in the cloud,"Current research in risk-aware business process management-overview, comparison, and gap analysis",Real-time risk monitoring in business processes: A sensor-based approach,Cost-informed operational process support,A software framework for risk-aware business process management,Cost-aware business process management: A research Agenda,Performance analysis of business process models with advanced constructs,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Addo-Tenkorang, Richard",Richard,male,0.9999944029565572,True,1,Concurrent enterprise: a conceptual framework for enterprise supply-chain network activities,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adeel Nawab, Rao Muhammad",Rao,male,0.9996092956533906,True,1,On comparing manual and automatic generated textual descriptions of business process models,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adel, Alti",Alti,female,0.9079669124286744,True,2,Formal Approach for Authorization in Distributed Business Process Related Task Document Role Based Access Control,A New Formal Proxy-Based Approach for Secure Distributed Business Process on the Cloud,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adensamer, Alexander",Alexander,male,0.9999914495946162,True,1,Differences Between BPM and ACM Models for Process Execution,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesina, Ayodeji",Ayodeji,male,0.9913915706269608,True,2,Virtual learning environments versus virtual learning process environments,A business process management based virtual learning environment : Customised learning paths,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adewojo, A.A.",A.A.,male,0.9846221441784312,True,1,Enhanced cloud patterns: A case studyof multi-tenancy patterns,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adler, Simon",Simon,male,0.9999853866925988,True,1,Using BPMN to simplify IMF caption & subtitle creation,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adriansyah, A.",,unknown,0.0,False,2,Conformance Checking Using Cost-Based Fitness Analysis,Towards robust conformance checking,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adriansyah, Arya",Arya,male,0.5728500410910068,False,1,Privacy Analysis of User Behavior Using Alignments; [Datenschutzanalyse von Nutzerverhalten mittels Alignments],$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afanasyev, Alexander",Alexander,male,0.9999914495946162,True,2,Multiagent system to analyse manufacturing process models,Intelligent agent system to analysis manufacturing process models,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afflerbach, Patrick",Patrick,male,0.9999373211096791,True,4,Design it like Darwin - A value-based application of evolutionary algorithms for proper and unambiguous business process redesign,Customer experience versus process efficiency: Towards an analytical framework about ambidextrous BPM,The business value of process flexibility: An optimization model and its application in the service sector,An optimization model for valuating process flexibility,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Affonseca, Gabriela Vianna Lembo",Gabriela,female,0.9999942912800748,True,1,Celonis process repository: A bridge between business process management and process mining,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afonin, Mikhail Vctorovich",Mikhail,male,0.9999529429120712,True,1,Cloud and Mobile Systems as a Means of Forming Professional Competencies in Economics and Engineering Students,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afonso, Anderson Tavares Queiroz",Anderson,male,0.9998133282336188,True,1,Business Process Management in Digital and Software Ecosystems: A Systematic Mapping Study,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afraites, Abdlekbir",Abdlekbir,male,0.9997217102452838,True,1,Big Data Approach and its applications in Various Fields: Review,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agarwal, Shivali",Shivali,female,0.9999606530976402,True,2,A-BPS: Automatic Business Process Discovery Service using Ordered Neurons LSTM,Accelerating collaboration in task assignment using a socially enhanced resource model,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agarwal, Tushar",Tushar,male,0.9999911782533482,True,1,Churn Analysis for Constructive Employment Using Machine Learning Classifiers,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ageev, A.A.",A.A.,male,0.9846221441784312,True,1,E-government services: Comparing real and expected user behavior,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aghabaghery, Roshanak",Roshanak,female,0.9838727899775772,True,1,A new method for organizational process model discovery through the analysis of workflows and data exchange networks,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aghdasi, M.",,unknown,0.0,False,1,Critical business objects and its applications in designing performance management systems,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agievich, Vadim",Vadim,male,0.9998553145817866,True,2,A new approach for collaborative Enterprise Architecture development,BPM change planning using the Matrix of Change and discrete optimization methods,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agirre, Agustin",Agustin,male,0.9995563045240332,True,1,Upgrading legacy EHR systems to smart EHR systems,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agostinelli, Simone",Simone,female,0.9989115818066938,True,7,Verifying Petri Net-Based Process Models using Automated Planning,An End-To-End Execution of a Logistic Process in an AI-Augmented Business Process Management System,Process mining meets model learning: Discovering deterministic finite state automata from event logs for business process analysis,Generating Executable Robotic Process Automation Scripts from Unsegmented User Interface Logs (Extended Abstract),Reactive synthesis of software robots in RPA from user interface logs,Intelligent Robotic Process Automation: Generating Executable RPA Scripts from Unsegmented UI Logs,A Human-in-the-Loop Approach to Support the Segments Compliance Analysis,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agrawal, Atul",Atul,male,0.9998818540437991,True,1,Design Thinking and Innovative Tool Use in Business Model,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agrawal, Divyakant",Divyakant,male,0.9936754166724492,True,1,On Similarity of Object-Aware Workflows,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
