An NFC application for the process mapping automation for SMEs,"Chiacchio, Ferdinando",Ferdinando,male,0.9998488716175292,True
A Flexible Approach to Multi-party Business Process Execution on Blockchain,"Corradini, Flavio",Flavio,male,0.9999823753370816,True
A Flexible Approach to Multi-party Business Process Execution on Blockchain,"Marcelletti, Alessandro",Alessandro,male,0.9999636677574057,True
A Flexible Approach to Multi-party Business Process Execution on Blockchain,"Morichetta, Andrea",Andrea,female,0.9990642945711071,True
A Flexible Approach to Multi-party Business Process Execution on Blockchain,"Polini, Andrea",Andrea,female,0.9990642945711071,True
A Flexible Approach to Multi-party Business Process Execution on Blockchain,"Re, Barbara",Barbara,female,0.999979214602181,True
A Flexible Approach to Multi-party Business Process Execution on Blockchain,"Tiezzi, Francesco",Francesco,male,0.9999449415190484,True
Carbon-Aware Process Execution for Green Business Process Management,"Hehnle, Philipp",Philipp,male,0.9999372005997167,True
Carbon-Aware Process Execution for Green Business Process Management,"Behrendt, Maximilian",Maximilian,male,0.9998238213451786,True
Carbon-Aware Process Execution for Green Business Process Management,"Weinbrecht, Luc",Luc,male,0.999975882428926,True
Carbon-Aware Process Execution for Green Business Process Management,"Corea, Carl",Carl,male,0.9999252084458771,True
Construction of sustainable development professional cluster in private universities based on data mining model,"Liu, Xueyi",Xueyi,female,0.9850291287733959,True
Transactional Business Process Redesign of Procurement Planning System using Heuristic Method,"Darmayanti, Nungki Dian Sulistyo",Nungki,female,0.9715694450674048,True
Transactional Business Process Redesign of Procurement Planning System using Heuristic Method,"Nastiti, Arti Dian",Arti,female,0.9998196993132032,True
Transactional Business Process Redesign of Procurement Planning System using Heuristic Method,"Karsanti, Hayuning Titi",Hayuning,female,0.9986592527037487,True
Sustainability Management Framework: Case Study of a Cuban IT Project Organization,"Soler, Juan Antonio Plasencia",Juan,male,0.9999978969254493,True
Sustainability Management Framework: Case Study of a Cuban IT Project Organization,"Delgado, Fernando Marrero",Fernando,male,0.9998906875755088,True
Sustainability Management Framework: Case Study of a Cuban IT Project Organization,"García, Miriam Nicado",Miriam,female,0.9998748565290823,True
Sustainability Management Framework: Case Study of a Cuban IT Project Organization,"Sánchez, Yasmany Aguilera",Yasmany,male,0.9989550207836573,True
Motivations to Adopt BPM in View of Digital Transformation,"Gabryelczyk, Renata",Renata,female,0.9999937852557952,True
Motivations to Adopt BPM in View of Digital Transformation,"Sipior, Janice C.",Janice,female,0.9999763643410398,True
Motivations to Adopt BPM in View of Digital Transformation,"Biernikowicz, Aneta",Aneta,female,0.9999974642645675,True
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN","Junger, Denise",Denise,female,0.9999800274983086,True
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN","Just, Elisaveta",Elisaveta,female,0.9999977972914282,True
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN","Brandenburg, Johanna M.",Johanna,female,0.9999825878401996,True
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN","Wagner, Martin",Martin,male,0.9998539477569732,True
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN","Schaumann, Katharina",Katharina,female,0.9999985016295945,True
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN","Klenzner, Thomas",Thomas,male,0.9999981017477207,True
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN","Burgert, Oliver",Oliver,male,0.9999907881390401,True
Deep Learning Based on TensorFlow and Keras for Predictive Monitoring of Business Process Execution Delays,"Fradj, Walid Ben",Walid,male,0.9999190638369029,True
Deep Learning Based on TensorFlow and Keras for Predictive Monitoring of Business Process Execution Delays,"Turki, Mohamed",Mohamed,male,0.9999971268152898,True
Deep Learning Based on TensorFlow and Keras for Predictive Monitoring of Business Process Execution Delays,"Gargouri, Faiez",Faiez,male,0.9837705061957304,True
Process Modeling with Large Language Models,"Kourani, Humam",Humam,male,0.9982153801396461,True
Process Modeling with Large Language Models,"Berti, Alessandro",Alessandro,male,0.9999636677574057,True
Process Modeling with Large Language Models,"Schuster, Daniel",Daniel,male,0.9999484956264236,True
Process Modeling with Large Language Models,"van der Aalst, Wil M. P.",Wil,male,0.9988491702309068,True
Utilizing the omnipresent: Incorporating digital documents into predictive process monitoring using deep neural networks,"Levich, Sergej",Sergej,male,0.9999885859552438,True
Utilizing the omnipresent: Incorporating digital documents into predictive process monitoring using deep neural networks,"Lutz, Bernhard",Bernhard,male,0.9999742564512356,True
Utilizing the omnipresent: Incorporating digital documents into predictive process monitoring using deep neural networks,"Neumann, Dirk",Dirk,male,0.9999427916159628,True
A Software Testing Workflow Analysis Tool Based on the ADCV Method,"Mao, Zijian",Zijian,male,0.986653818369657,True
A Software Testing Workflow Analysis Tool Based on the ADCV Method,"Han, Qiang",Qiang,male,0.9889567902465515,True
A Software Testing Workflow Analysis Tool Based on the ADCV Method,"He, Yu",Yu,female,0.8656251027956705,True
A Software Testing Workflow Analysis Tool Based on the ADCV Method,"Li, Nan",Nan,female,0.9991138495979253,True
A Software Testing Workflow Analysis Tool Based on the ADCV Method,"Li, Cong",Cong,male,0.9891634952979704,True
A Software Testing Workflow Analysis Tool Based on the ADCV Method,"Shan, Zhihui",Zhihui,unknown,0.5312738292597456,False
A Software Testing Workflow Analysis Tool Based on the ADCV Method,"Han, Sheng",Sheng,unknown,0.5992599068987832,False
RecPro: A User-Centric Recommendation Tool for Business Process Execution,"Petter, Sebastian",Sebastian,male,0.9999469726859632,True
