Article Title,Author Name,First Name,Gender,Probability,Reliable
Using the Business Digital Simulation Game of MonsoonSIM in the Business Process Management Course for Creating Knowledge and Understanding of University Students,"Tumphasuwan, Khanita",Khanita,female,0.9987725273198385,True
Digital Transformation Model Based on Business Process Management and Lean Manufacturing to Increase the Productivity of the Administrative Area of a Peruvian Aeronautical Company,"Ladera-Mejia, Alexandra Gianella",Alexandra,female,0.9999515079608735,True
Digital Transformation Model Based on Business Process Management and Lean Manufacturing to Increase the Productivity of the Administrative Area of a Peruvian Aeronautical Company,"Pun-Gutierrez, Xiomara Stephanie",Xiomara,female,0.9999875490457989,True
Digital Transformation Model Based on Business Process Management and Lean Manufacturing to Increase the Productivity of the Administrative Area of a Peruvian Aeronautical Company,"Quiroz-Flores, Juan Carlos",Juan,male,0.9999978969254493,True
Digital Transformation Model Based on Business Process Management and Lean Manufacturing to Increase the Productivity of the Administrative Area of a Peruvian Aeronautical Company,"Flores-Perez, Alberto Enrique",Alberto,male,0.9998864566720463,True
Business process management (BPM) in a day,"Bist, Gary",Gary,male,0.9997261213475382,True
BPMS-RA: A Novel Reference Architecture for Business Process Management Systems,"Pourmirza, Shaya",Shaya,unknown,0.5256590966265645,False
BPMS-RA: A Novel Reference Architecture for Business Process Management Systems,"Peters, Sander",Sander,male,0.9998363444871542,True
BPMS-RA: A Novel Reference Architecture for Business Process Management Systems,"Dijkman, Remco",Remco,male,0.999418503534345,True
BPMS-RA: A Novel Reference Architecture for Business Process Management Systems,"Grefen, Paul",Paul,male,0.999990342528266,True
Organizational ontologies to support semantic business process management,"Filipowska, Agata",Agata,female,0.9999959543121029,True
Organizational ontologies to support semantic business process management,"Kaczmarek, Monika",Monika,female,0.9999969447763358,True
Organizational ontologies to support semantic business process management,"Kowalkiewicz, Marek",Marek,male,0.9999483104588682,True
Organizational ontologies to support semantic business process management,"Markovic, Ivan",Ivan,male,0.9999776517681997,True
Organizational ontologies to support semantic business process management,"Zhou, Xuan",Xuan,female,0.9819414067324399,True
Business process management in a day,"Bist, Gary",Gary,male,0.9997261213475382,True
Business process management (BPM) in a day,"Bist, Gary",Gary,male,0.9997261213475382,True
Business process management (BPM) in a day,"Cheung, Kenneth K.",Kenneth,male,0.9994244548675503,True
Business process management (BPM) in a day,"Bist, Gary",Gary,male,0.9997261213475382,True
Business process management (BPM) in a day,"Bist, Gary",Gary,male,0.9997261213475382,True
Semantic web service engineering for semantic business process management,"Kerrigan, Mick",Mick,male,0.9999404574672522,True
Semantic web service engineering for semantic business process management,"Norton, Barry",Barry,male,0.9997107200738254,True
Semantic web service engineering for semantic business process management,"Simperl, Elena",Elena,female,0.9999926399905951,True
Semantic web service engineering for semantic business process management,"Fensel, Dieter",Dieter,male,0.9999629369688875,True
Simulation standard for business process management,"Januszczak, John",John,male,0.9999985032120171,True
Simulation standard for business process management,"Hook, Geoff",Geoff,male,0.999994074472292,True
Ontology-based semantic matching for business process management,"Kim, Gunwoo",Gunwoo,male,0.9996220642039415,True
Ontology-based semantic matching for business process management,"Suhh, Yongmoo",Yongmoo,unknown,0.7418470254007903,False
Business process management adoption: a case study of a South African supermarket retailer,"Grisdale, Wesley",Wesley,male,0.999943116377622,True
Business process management adoption: a case study of a South African supermarket retailer,"Seymour, Lisa F.",Lisa,female,0.9999919628013756,True
Incremental implementation of automated guided vehicle-based logistics using S-BPM: experience report of a digitalization project at ENGEL Austria,"Moser, Christoph",Christoph,male,0.9996583666010818,True
Incremental implementation of automated guided vehicle-based logistics using S-BPM: experience report of a digitalization project at ENGEL Austria,"Kannengiesser, Udo",Udo,male,0.9993990197381508,True
Can you see the wood for the trees? collection and compilation of agility models for BPM,"Lederer, Matthias",Matthias,male,0.9999337682187655,True
Can you see the wood for the trees? collection and compilation of agility models for BPM,"Popova, Oleksandra",Oleksandra,female,0.995950423809616,True
Can you see the wood for the trees? collection and compilation of agility models for BPM,"Schmid, Patrick",Patrick,male,0.9999373211096793,True
Supply Chain Resilience Support in S-BPM,"Neubauer, Matthias",Matthias,male,0.9999337682187655,True
"Ten Years After: Quo Vadis, S-BPM?","Fleischmann, Albert",Albert,male,0.9999213683449588,True
Existing and future standards for event-driven business process management,"von Ammon, Rainer",Rainer,male,0.9999264596357705,True
Existing and future standards for event-driven business process management,"Emmersberger, Christoph",Christoph,male,0.9996583666010818,True
Existing and future standards for event-driven business process management,"Ertlmaier, Thomas",Thomas,male,0.9999981017477207,True
Existing and future standards for event-driven business process management,"Etzion, Opher",Opher,male,0.9999962845589251,True
Existing and future standards for event-driven business process management,"Paulus, Thomas",Thomas,male,0.9999981017477207,True
Existing and future standards for event-driven business process management,"Springer, Florian",Florian,male,0.9999672042878258,True
Stakeholder-centered Process Implementation: Assessing S-BPM Tool Support,"Krenn, Florian",Florian,male,0.9999672042878258,True
Stakeholder-centered Process Implementation: Assessing S-BPM Tool Support,"Stary, Christian",Christian,male,0.9993987974523811,True
Stakeholder-centered Process Implementation: Assessing S-BPM Tool Support,"Wachholder, Dominik",Dominik,male,0.9999341703754147,True
Location-aware business process management for real-time monitoring of a cardiac care process,"Tchemeube, Renaud Bougueng",Renaud,male,0.9999832587441561,True
Location-aware business process management for real-time monitoring of a cardiac care process,"Amyot, Daniel",Daniel,male,0.9999484956264236,True
Location-aware business process management for real-time monitoring of a cardiac care process,"Mouttham, Alain",Alain,male,0.9997547561521526,True
Subject-oriented specification of IoT scenarios,"Venkatakumar, Harshitha",Harshitha,female,0.9999963527050284,True
Subject-oriented specification of IoT scenarios,"Schmidt, Werner",Werner,male,0.9999697709027106,True
SLA-driven business process management in SOA,"Muthusamy, Vinod",Vinod,male,0.9998793519109005,True
SLA-driven business process management in SOA,"Jacobsen, Hans-Arno",Hans,male,0.9999270008633634,True
SLA-driven business process management in SOA,"Chau, Tony",Tony,male,0.9996329230975256,True
SLA-driven business process management in SOA,"Chan, Allen",Allen,male,0.9998909262310021,True
SLA-driven business process management in SOA,"Coulthard, Phil",Phil,male,0.9999056709445863,True
Applying agile methods and personas to S-BPM,"Forbrig, Peter",Peter,male,0.9999580684529622,True
Applying agile methods and personas to S-BPM,"Dittmar, Anke",Anke,female,0.9999829340499841,True
Some say Digitalization - others say IT-enabled Process Management thought through to the End,"Lederer, Matthias",Matthias,male,0.9999337682187655,True
Some say Digitalization - others say IT-enabled Process Management thought through to the End,"Betz, Stefanie",Stefanie,female,0.9999511286994601,True
Some say Digitalization - others say IT-enabled Process Management thought through to the End,"Kurz, Matthias",Matthias,male,0.9999337682187655,True
Some say Digitalization - others say IT-enabled Process Management thought through to the End,"Schmidt, Werner",Werner,male,0.9999697709027106,True
3rd Event-Driven Business Process Management Workshop (edBPM),"Yoon, Young",Young,male,0.990940072875331,True
3rd Event-Driven Business Process Management Workshop (edBPM),"Jacobsen, Hans-Arno",Hans,male,0.9999270008633634,True
3rd Event-Driven Business Process Management Workshop (edBPM),"Chan, Allen",Allen,male,0.9998909262310021,True
3rd Event-Driven Business Process Management Workshop (edBPM),"Coulthard, Phil",Phil,male,0.9999056709445863,True
3rd Event-Driven Business Process Management Workshop (edBPM),"Paschke, Adrian",Adrian,male,0.998830188234461,True
Lifecycle of composite business applications enabled by WebSphere Business Process Management,"Lau, Diana",Diana,female,0.999995961950494,True
Lifecycle of composite business applications enabled by WebSphere Business Process Management,"Sun, Ying",Ying,female,0.9976533957633784,True
APRUMO (Agile Process Modeling) – A Method to Process Modeling Using Agile BPM,"Vieira, Caio S.M.",Caio,male,0.999962729278481,True
APRUMO (Agile Process Modeling) – A Method to Process Modeling Using Agile BPM,"Lohmann, Pedro A.",Pedro,male,0.9999821167297533,True
APRUMO (Agile Process Modeling) – A Method to Process Modeling Using Agile BPM,"Magdaleno, Andrea M.",Andrea,female,0.9990527660039723,True
APRUMO (Agile Process Modeling) – A Method to Process Modeling Using Agile BPM,"Engiel, Priscila",Priscila,female,0.9999920671154364,True
Automatic Tool Support Possibilities for the Text-Based S-BPM Process Modelling Methodology,"Elstermann, Matthes",Matthes,unknown,0.6764015388629641,False
Automatic Tool Support Possibilities for the Text-Based S-BPM Process Modelling Methodology,"Heuser, Tobias",Tobias,male,0.9999755650213412,True
Industry 4.0 Standardisation: Where Does S-BPM Fit?,"Kannengiesser, Udo",Udo,male,0.9993990197381508,True
Industry 4.0 Standardisation: Where Does S-BPM Fit?,"Müller, Harald",Harald,male,0.9999263057035207,True
Conformance checking: a state-of-the-art literature review,"Dunzer, Sebastian",Sebastian,male,0.9999469726859632,True
Conformance checking: a state-of-the-art literature review,"Stierle, Matthias",Matthias,male,0.9999337682187655,True
Conformance checking: a state-of-the-art literature review,"Matzner, Martin",Martin,male,0.9998539477569732,True
Conformance checking: a state-of-the-art literature review,"Baier, Stephan",Stephan,male,0.9999887311827451,True
Meeting Industrie 4.0 Challenges with S-BPM,"Friedl, Anton",Anton,male,0.9999464363559706,True
BizDevOps and the Role of S-BPM,"Forbrig, Peter",Peter,male,0.9999580684529622,True
"Real time patient flow management using business process management, location tags, and complex events processing","Badreddin, Omar",Omar,male,0.9999954754245614,True
"Real time patient flow management using business process management, location tags, and complex events processing","Peyton, Liam",Liam,male,0.9998655862005859,True
"Digital Transformation, Smart Factories, and Virtual Design: Contributions of Subject Orientation","Lederer, Matthias",Matthias,male,0.9999337682187655,True
"Digital Transformation, Smart Factories, and Virtual Design: Contributions of Subject Orientation","Betz, Stefanie",Stefanie,female,0.9999511286994601,True
"Digital Transformation, Smart Factories, and Virtual Design: Contributions of Subject Orientation","Schmidt, Werner",Werner,male,0.9999697709027106,True
Towards BPM Skill Assessment using Computerized Adaptive Testing,"Graf, David",David,male,0.9999952928042082,True
Towards BPM Skill Assessment using Computerized Adaptive Testing,"Oppl, Stefan",Stefan,male,0.9999831604184807,True
Towards BPM Skill Assessment using Computerized Adaptive Testing,"Eckmaier, Alexander",Alexander,male,0.9999914495946162,True
Towards a comprehensive understanding of the context concepts in context-aware business processes,"Song, Rongjia",Rongjia,unknown,0.5239890340315129,False
Towards a comprehensive understanding of the context concepts in context-aware business processes,"Vanthienen, Jan",Jan,unknown,0.5499840166905398,False
Towards a comprehensive understanding of the context concepts in context-aware business processes,"Cui, Weiping",Weiping,unknown,0.6944698644234264,False
Towards a comprehensive understanding of the context concepts in context-aware business processes,"Wang, Ying",Ying,female,0.9976533957633784,True
Towards a comprehensive understanding of the context concepts in context-aware business processes,"Huang, Lei",Lei,female,0.9771878571980654,True
Universal Artifacts: A New Approach to Business Process Management (BPM) Systems,"Sun, Yutian",Yutian,unknown,0.7344049874880008,False
