A PLM-based approach for un-manned air system design: A proposal,2014,3,1,0,False,True,4
Sustaining the momentum: Archival analysis of Enterprise Resource Planning systems (2006-2012),2014,1,2,0,True,False,3
Designing cooperative social applications in healthcare by means of socialbpm,2014,4,0,0,False,False,4
Selection of a business process management system: An analysis based on a multicriteria problem,2014,3,1,0,False,True,4
EPC generator: A concept to generate event-driven process chains based on an original process model,2014,4,0,0,False,False,4
Employee resistance and participation in the implementation of BPM - A multi-level approach using the example of the Schleswig-Holstein Regional Police Agency; [Mitarbeiterwiderstände und-partizipation bei der Einführung von BPM-Ein Multi-Level-Ansatz am Beispiel des Landespolizeiamtes Schleswig-Holstein],2014,2,0,0,False,False,2
Shaping the next incarnation of Business intelligence: Towards a flexibly governed network of information integration and analysis capabilities,2014,6,0,0,False,False,6
Sustainable software system engineering,2014,1,1,0,True,False,2
Semantic based auto-completion of business process modelling in eGovernment,2014,0,2,0,True,True,2
Semantic concepts in BPMN 2.0,2014,4,1,0,True,False,5
Business process assignment and execution in mobile environments,2014,6,2,1,False,False,9
Quality measures for ETL processes,2014,3,0,0,False,False,3
An Editing Concept for PASS Layers,2014,0,1,1,False,True,2
Requirements-based development of BPMN extensions: The case of clinical pathways,2014,2,0,0,False,False,2
A framework for process-based collaborative systems design,2014,1,1,1,False,True,3
CloudExp: A comprehensive cloud computing experimental framework,2014,6,0,0,False,False,6
A method for evaluating and measuring cloud computing business process,2014,5,0,1,False,False,6
"Analysis of process model reuse: Where are we now, where should we go from here?",2014,3,1,0,True,False,4
KPIshare: A collaborative space for BPM practitioners for full definitions and discussions on process KPIs,2014,4,2,0,False,False,6
Flexible batch configuration in business processes based on events,2014,3,1,0,True,False,4
Process engine selection support,2014,1,0,0,False,False,1
The impact of human resources information systems and business process management implementations on recruiting process performance: A case study,2014,3,0,0,False,False,3
Listen to me: Improving process model matching through user feedback,2014,4,0,1,False,False,5
Applying the Strategy-Oriented Business Process Modeling to S-BPM,2014,2,1,0,False,True,3
Modeling using ordinary language as basis for agile business process management; [Gebrauchssprachliche Modellierung als Grundlage für agiles Geschäftsprozessmanagement],2014,3,0,0,False,False,3
Augmenting and assisting model elicitation tasks with 3D virtual world context metadata,2014,1,3,0,False,True,4
A BPM-Based Approach of Human Task Support within Automated Workflows,2014,0,0,3,False,False,3
Combining knowledge management and business process management - A solution for information extraction from business process models focusing on BPM challenges,2014,2,1,0,True,False,3
From a family of state-centric PAIS to a configurable and parameterized business process architecture,2014,1,1,0,False,True,2
BPM change planning using the Matrix of Change and discrete optimization methods,2014,2,0,0,False,False,2
Collaborative management of applications in enterprise social networks,2014,2,2,0,True,False,4
"Around the world business process education and research has taken off, except in the USA. Why?",2014,4,1,0,False,False,5
What you can do to inhibit business process standardization,2014,1,1,0,True,False,2
Navigating in process model repositories and enterprise process information,2014,3,1,0,False,False,4
On enabling context-aware compliance monitoring of business processes at run-time in distributed systems,2014,0,1,0,True,True,1
SWB process: A business process management system driven by semantic technologies,2014,2,1,1,False,False,4
Towards a DSL-based approach for specifying and monitoring home care plans,2014,0,0,4,False,False,4
SAP operational process intelligence: Empowering line-of-business workers with real-time process visibility,2014,2,0,0,False,False,2
Constructs competition miner: Process control-flow discovery of BP-domain constructs,2014,5,0,0,False,False,5
Research challenges for business process models at run-time,2014,5,0,0,False,False,5
Empirical evidence for the impact of Organizational Culture on process quality,2014,1,1,0,True,False,2
Architecting the Enterprise along Communication Paradigm Using the TOGAF® Framework,2014,3,0,0,False,False,3
Analysis of nonlinear three-layer optical waveguide,2014,4,0,0,False,False,4
Cognitive support for S-BPM user interfaces intertwining modeling and execution,2014,2,0,0,False,False,2
Analyzing risks in business process models using a deviational technique,2014,1,2,0,True,True,3
Improving knowledge-intensive business processes through social media,2014,1,1,0,True,False,2
On the theoretical foundations of research into the understandability of business process models,2014,3,0,0,False,False,3
Supporting value stream design using S-BPM,2014,1,0,0,False,False,1
Caring of intentionality in business process models using Business Process Patterns,2014,1,0,0,False,False,1
Abstract Layers in PASS - A Concept Draft,2014,0,1,1,False,True,2
A situational perspective on workarounds in it-enabled business processes: A multiple case study,2014,2,1,0,True,False,3
Using Meta Processes for the Structured Discovery and Self-learning Improvement of S-BPM Processes,2014,2,0,0,False,False,2
Flexibility requirements in real-world process scenarios and prototypical realization in the care domain,2014,3,1,0,False,False,4
